Time (s),Satellite ID,Longitude (deg),X (km),Y (km),Z (km),VX,VY,VZ,ideal VX,ideal VY,ideal VZ,ideal x,ideal_y,ideal_z,Status
580,01,45.0,28195.10939647078,30531.505411538004,-80.14425641221568,-3.795226086345075,0.8318819203691217,-0.3780714344777057,0.0,0.0,0,28522.112615347083,31043.545882477065,0,non-stationkeeping
590,01,45.0,28158.10815903944,30540.046080609758,-82.6578130473591,-3.7001237431341023,0.8540669071754412,-0.25135566351434147,0.0,0.0,0,28499.461941730086,31064.34158374966,0,non-stationkeeping
600,01,45.0,28121.454034032908,30548.073015640377,-85.41713358549053,-3.665412500653066,0.802693503061945,-0.27593205381314306,0.0,0.0,0,28476.796105804766,31085.120758144443,0,non-stationkeeping
610,01,45.0,28083.642307660884,30555.462152016706,-89.11814244721081,-3.7811726372024674,0.7389136376329584,-0.3701008861720285,0.0,0.0,0,28454.11511962981,31105.883394606462,0,non-stationkeeping
620,01,45.0,28044.662407310807,30562.05001062319,-92.32360998576831,-3.8979900350078505,0.6587858606481367,-0.32054675385575004,0.0,0.0,0,28431.41899527198,31126.629482089567,0,non-stationkeeping
630,01,45.0,28006.73927003613,30566.582128316375,-95.22376239719877,-3.7923137274676315,0.4532117693185864,-0.2900152411430453,0.0,0.0,0,28408.707744806095,31147.3590095564,0,non-stationkeeping
640,01,45.0,27969.533109639695,30571.259436925313,-97.4406964669687,-3.7206160396435903,0.4677308608936187,-0.2216934069769933,0.0,0.0,0,28385.981380315003,31168.071965978423,0,non-stationkeeping
650,01,45.0,27930.7869878636,30575.127550667847,-99.08107767925955,-3.8746121776093303,0.386811374253232,-0.1640381212290848,0.0,0.0,0,28363.239913889607,31188.768340335904,0,non-stationkeeping
660,01,45.0,27894.324890821237,30578.864895472285,-101.11050956281468,-3.646209704236244,0.3737344804439993,-0.2029431883555131,0.0,0.0,0,28340.483357628844,31209.44812161796,0,non-stationkeeping
670,01,45.0,27858.576229348728,30582.77258908504,-102.8305035673215,-3.574866147251054,0.39076936127560025,-0.17199940045068152,0.0,0.0,0,28317.711723639673,31230.11129882249,0,non-stationkeeping
680,01,45.0,27822.481332360356,30585.88531851027,-103.95198770902907,-3.609489698837053,0.3112729425230297,-0.11214841417075685,0.0,0.0,0,28294.925024037086,31250.757860956266,0,non-stationkeeping
690,01,45.0,27786.633297626704,30589.714168237148,-105.79657595941133,-3.584803473365027,0.38288497268761107,-0.18445882503822564,0.0,0.0,0,28272.123270944077,31271.387797034888,0,non-stationkeeping
700,01,45.0,27751.509289172838,30594.38498948437,-107.67625634936194,-3.5124008453867352,0.4670821247221393,-0.18796803899506126,0.0,0.0,0,28249.306476491656,31292.00109608279,0,non-stationkeeping
710,01,45.0,27715.534131185905,30599.442785821306,-110.51353499029783,-3.5975157986933226,0.5057796336934719,-0.2837278640935891,0.0,0.0,0,28226.47465281883,31312.597747133277,0,non-stationkeeping
720,01,45.0,27677.111487623853,30604.718633391498,-114.94856907928224,-3.8422643562052627,0.5275847570191553,-0.4435034088984407,0.0,0.0,0,28203.627812072606,31333.1777392285,0,non-stationkeeping
730,01,45.0,27640.07020317097,30610.726957857805,-119.67244690380072,-3.704128445288533,0.6008324466306216,-0.47238778245184787,0.0,0.0,0,28180.765966407984,31353.741061419467,0,non-stationkeeping
740,01,45.0,27602.785324399938,30617.040956681347,-126.23222835563143,-3.7284878771031957,0.6313998823541549,-0.6559781451830714,0.0,0.0,0,28157.889127987946,31374.287702766065,0,non-stationkeeping
750,01,45.0,27566.183247402452,30623.006346743998,-132.0269125986996,-3.660207699748474,0.5965390062651672,-0.5794684243068173,0.0,0.0,0,28134.99730898344,31394.81765233706,0,non-stationkeeping
760,01,45.0,27530.472333707858,30629.014907028537,-137.6431630439943,-3.571091369459627,0.600856028453917,-0.5616250445294689,0.0,0.0,0,28112.090521573387,31415.33089921008,0,non-stationkeeping
770,01,45.0,27494.474671492448,30633.89796778224,-142.21711180038656,-3.5376831219873175,0.5716200442526138,-0.442258374707911,-2.2929217673739464,2.048817282024571,0,28089.16877794469,31435.82743247165,0,stationkeeping
780,01,45.0,27459.785772381958,30639.431337593865,-146.20712334869413,-3.4058963305551666,0.6380121861334852,-0.3835824401862248,-2.2944155597471605,2.0471442854889186,0,28066.232090292182,31456.30724121719,0,stationkeeping
790,01,45.0,27423.727788953533,30646.64609702365,-150.0877123074323,-3.5412232942330903,0.8071363532450029,-0.37227400685132506,-2.2959081314434293,2.0454701998297975,0,28043.280470818674,31476.770314551017,0,stationkeeping
800,01,45.0,27388.0205768865,30656.429074608088,-154.54599639894468,-3.5049452277681103,1.0645075096763077,-0.4294821526930399,-2.2973994816686734,2.043795025937856,0,28020.31393173489,31497.216641586343,0,stationkeeping
810,01,45.0,27353.27089997243,30667.793435160213,-159.16208820304124,-3.4082093767146886,1.2232326982599826,-0.44476975322853285,-2.2988896096294633,2.0421187647043215,0,27997.33248525951,31517.646211445306,0,stationkeeping
820,01,45.0,27317.23182791116,30679.533217949443,-164.81026787155412,-3.5355897171731945,1.261563784730105,-0.5472073041304303,-2.3003785145330196,2.0404414170210003,0,27974.33614361915,31538.05901325893,0,stationkeeping
830,01,45.0,27281.866030006688,30691.567448001613,-169.64934945950225,-3.46716447435333,1.2917824439906662,-0.46597540753127387,-2.3018661955872144,2.038762983780276,0,27951.324919048348,31558.455036167197,0,stationkeeping
840,01,45.0,27247.086569034986,30705.058506734855,-174.63701876268973,-3.4074756848044734,1.437859404767832,-0.480305694581843,-2.30335265200057,2.037083465875111,0,27928.298823789548,31578.834269318988,0,stationkeeping
850,01,45.0,27213.53973576732,30719.60494688729,-180.04298113260336,-3.283411822446161,1.543764708440172,-0.5215107464041204,-2.30483788298226,2.035402864199042,0,27905.25787009311,31599.196701872126,0,stationkeeping
860,01,45.0,27181.585482744893,30735.410546600757,-185.44087568028056,-3.1235854366667066,1.6698794714025191,-0.5201657882901557,-2.306321887742112,2.0337211796461854,0,27882.202070217303,31619.542322993384,0,stationkeeping
870,01,45.0,27149.025347990268,30753.76904297618,-191.70995653239424,-3.183106448998642,1.924852222981707,-0.6064832733877078,-2.307804665490603,2.032038413111233,0,27859.131436428306,31639.87112185845,0,stationkeeping
880,01,45.0,27117.84447827635,30772.72358138625,-196.73248256632115,-3.04464921960732,1.9844695930825076,-0.4815748499292739,-2.309286215438865,2.0303545654894504,0,27836.045981000163,31660.183087651985,0,stationkeeping
890,01,45.0,27087.874612063013,30793.850091890505,-200.31526967833722,-2.9231070707493534,2.201145899367875,-0.3375306268113691,-2.310766536798682,2.0286696376766806,0,27812.94571621482,31680.4782095676,0,stationkeeping
900,01,45.0,27059.70541168452,30815.980621344745,-203.42875164700658,-2.7428981647631288,2.3011583923407177,-0.2903826253085008,-2.3122456287824935,2.02698363056934,0,27789.830654362107,31700.756476807866,0,stationkeeping
910,01,45.0,27033.03836607813,30839.96458045193,-206.53014334037977,-2.5926323543329675,2.4857550418005117,-0.28886587666460645,-2.3137234906033908,2.0252965450644194,0,27766.700807739715,31721.01787858433,0,stationkeeping
920,01,45.0,27008.048385639206,30864.263550591964,-208.56724848249746,-2.4250796677462745,2.5167843220919304,-0.1824463683350964,-2.3152001214751197,2.0236083820594835,0,27743.556188653205,31741.26240411749,0,stationkeeping
930,01,45.0,26982.2100949659,30888.936538927723,-211.98410384135008,-2.5094760887920935,2.5536634245645997,-0.319803754429357,-2.3166755206120833,2.021919142452671,0,27720.396809415997,31761.490042636844,0,stationkeeping
940,01,45.0,26956.18953640459,30914.12392363436,-215.3138046163309,-2.527384729198825,2.604499137351503,-0.3107727568814553,-2.3181496872293375,2.0202288271426916,0,27697.222682349366,31781.700783380864,0,stationkeeping
950,01,45.0,26930.89471592553,30940.169821022584,-219.00656790586322,-2.4547484186653374,2.6895901136763563,-0.34663711950473675,-2.3196226205425954,2.018537437028829,0,27674.033819782424,31801.894615597015,0,stationkeeping
960,01,45.0,26906.75160363374,30966.51658177382,-220.61951138533547,-2.3397169323182783,2.71899590759597,-0.13890980811279752,-2.3210943197682257,2.0168449730109375,0,27650.830234052133,31822.071528541765,0,stationkeeping
970,01,45.0,26882.688786571238,30993.684848456593,-220.77765926850557,-2.331621957312858,2.800277984115012,0.006294607186475787,-2.3225647841232533,2.0151514359894436,0,27627.611937503294,31842.231511480557,0,stationkeeping
980,01,45.0,26859.597459700406,31021.57161592972,-222.41367269635776,-2.2346843414560027,2.8712066012475805,-0.1410327728300121,-2.324034012825361,2.0134568268653443,0,27604.378942488518,31862.374553687878,0,stationkeeping
990,01,45.0,26836.90325692984,31049.844120692378,-221.81057798013302,-2.1951096400689063,2.9088851499818396,0.0823699104772424,-2.325502005092888,2.011761146540207,0,27581.13126136824,31882.50064444719,0,stationkeeping
1000,01,45.0,26813.677430412703,31078.254751182358,-221.00027608610054,-2.248172276320611,2.9218365538787774,0.10296815663305112,-2.3269687601448323,2.010064395916169,0,27557.86890651071,31902.609773051016,0,stationkeeping
1010,01,45.0,26788.91927046528,31105.681242592345,-220.8660653672323,-2.400953969324319,2.822882644489254,0.035480836279773026,-2.328434277200849,2.008366575895937,0,27534.591890291995,31922.701928800863,0,stationkeeping
1020,01,45.0,26765.851764369887,31133.82889365628,-220.36985106366404,-2.232252059358881,2.8940437322903754,0.07155917260247693,-2.3298985554812535,2.006667687382786,0,27511.300225095943,31942.777101007294,0,stationkeeping
1030,01,45.0,26744.17690941115,31161.27217973259,-219.64655537957606,-2.0934315466798274,2.823006195804335,0.09414956480993912,-2.331361594207018,2.0049677312805616,0,27487.993923314218,31962.83527898989,0,stationkeeping
1040,01,45.0,26721.406015621087,31190.40240384059,-217.5156787784151,-2.202874148861122,2.9904503042192223,0.23441305267370469,-2.332823392599776,2.003266708493675,0,27464.672997346246,31982.876452077286,0,stationkeeping
