Time (s),Satellite ID,Longitude (deg),X (km),Y (km),Z (km),VX,VY,VZ,ideal VX,ideal VY,ideal VZ,ideal x,ideal_y,ideal_z,Status,Sun X (km),Sun Y (km),Sun Z (km),Moon X (km),Moon Y (km),Moon Z (km)
51980,01,45.0,-6051.039886354402,-41933.74313928856,831.0148365435484,3.594515322017321,-1.4713110064603405,-0.5888420090895491,3.594198404528024,-1.473507583298842,-0.5887984743223003,-5698.234685914923,-41770.118152385396,0.0,non-stationkeeping,149589859.441203,1548182.9139491806,0.0,231727.76015852008,306701.1659122205,0.0
51990,01,45.0,-6013.9351470891,-41948.54926873922,825.509605207093,3.710788693885328,-1.47841703305561,-0.5505663516576447,3.710473926530285,-1.4806129450656347,-0.5505231336455417,-5667.766148109901,-41774.26331954089,0.0,non-stationkeeping,149589856.3584951,1548480.7453506733,0.0,231719.5966129526,306707.3337002729,0.0
52000,01,45.0,-5976.38264254094,-41963.68795591751,820.1757552001114,3.755563044576574,-1.511673500497607,-0.5334279103960164,3.7552504548160037,-1.513868717829078,-0.533385000698158,-5637.294594935043,-41778.38626191677,0.0,non-stationkeeping,149589853.2751942,1548778.5767460281,0.0,231711.43290321995,306713.501271034,0.0
52010,01,45.0,-5937.84070262432,-41978.75920462233,815.2371517245701,3.854504358481434,-1.5049303261563065,-0.4939029704904728,3.8541939916619823,-1.5071248704819311,-0.49386034755413377,-5606.820042601852,-41782.48697731955,0.0,non-stationkeeping,149589850.19130033,1549076.4081352432,0.0,231703.26902932802,306719.66862449964,0.0
52020,01,45.0,-5898.740144433856,-41993.32446028618,810.5664709249177,3.910363948262824,-1.454331638277151,-0.46711043210925135,3.9100558190464563,-1.4565255663853136,-0.4670680799652466,-5576.342507323424,-41786.56546356757,0.0,non-stationkeeping,149589847.10681346,1549374.2395183176,0.0,231695.10499128254,306725.8357606652,0.0
52030,01,45.0,-5860.494050985575,-42006.667083250984,806.3298236783179,3.824915306389897,-1.3320688861805656,-0.42370683211527377,3.8246093448280822,-1.334262296480503,-0.4236647246599717,-5545.862005314482,-41790.62171849097,0.0,non-stationkeeping,149589844.02173364,1549672.0708952507,0.0,231686.94078908936,306732.00267952646,0.0
52040,01,45.0,-5822.812803052874,-42020.86791840367,803.4563785022685,3.768428597700535,-1.4178907315051796,-0.2873864488442652,3.76812479327008,-1.4200835152680558,-0.2873445176049366,-5515.378552791214,-41794.65573993176,0.0,non-stationkeeping,149589840.93606085,1549969.9022660404,0.0,231678.77642275422,306738.1693810789,0.0
52050,01,45.0,-5786.422372653639,-42034.66188746681,801.5901449584899,3.6393447608068157,-1.3772047435297254,-0.1866651626488456,3.6390430399235147,-1.3793969063147902,-0.18662335437786315,-5484.892165971527,-41798.66752574374,0.0,non-stationkeeping,149589837.84979504,1550267.7336306863,0.0,231670.6118922829,306744.33586531837,0.0
52060,01,45.0,-5750.361945659663,-42048.87671787322,800.9293579874434,3.6063423454242893,-1.4192915569732882,-0.06612044385134205,3.606042699397608,-1.4214830406412378,-0.06607869710465325,-5454.402861074742,-41802.657073792565,0.0,non-stationkeeping,149589834.7629363,1550565.5649891868,0.0,231662.44719768118,306750.50213224033,0.0
52070,01,45.0,-5714.77241122861,-42064.46937088548,799.4977876093994,3.5592510109646245,-1.5570746486928335,-0.1431986786864937,3.558953443105418,-1.5592653012261062,-0.14315703780438954,-5423.91065432184,-41806.62438195571,0.0,non-stationkeeping,149589831.67548457,1550863.396341541,0.0,231654.28233895486,306756.6681818405,0.0
52080,01,45.0,-5679.612622708659,-42080.27084713601,799.7624814009971,3.5162743601795072,-1.5779578432930832,0.026427756685602686,3.5159788519951065,-1.580147625052791,0.026469379159767353,-5393.415561935314,-41810.56944812249,0.0,non-stationkeeping,149589828.58743984,1551161.2276877475,0.0,231646.1173161097,306762.83401411446,0.0
52090,01,45.0,-5644.994025026437,-42095.9512168129,799.2320107281546,3.462153248577665,-1.5658480577492964,-0.05308863010187301,3.461859768222166,-1.568036967689022,-0.05304706728425647,-5362.917600139187,-41814.492270194045,0.0,non-stationkeeping,149589825.49880216,1551459.0590278048,0.0,231637.9521291515,306768.9996290578,0.0
52100,01,45.0,-5609.847507366172,-42112.121924240855,799.4510824728357,3.5149431846318313,-1.6148827500237615,0.02186563363659781,3.514651766026541,-1.6170707427951587,0.021907174468102433,-5332.416785159012,-41818.39284608334,0.0,non-stationkeeping,149589822.40957147,1551756.890361712,0.0,231629.7867780861,306775.16502666636,0.0
