Time (s),Satellite ID,Longitude (deg),X (km),Y (km),Z (km),VX,VY,VZ,ideal VX,ideal VY,ideal VZ,ideal x,ideal_y,ideal_z,Status
200,01,45.0,29335.64300065927,30310.361402262984,25.779807462950533,-2.5355934723437823,2.5666514943191245,0.2170811609705565,-2.5340354422726223,2.5682612935472653,0.21708253025112384,29371.48462408541,30241.172926609746,0,non-stationkeeping
210,01,45.0,29309.748672598784,30335.65844229691,27.97461319456469,-2.5909894402553584,2.528092881949515,0.21947908732459306,-2.589432806048765,2.5297040033923994,0.21948057316141584,29349.418973398093,30262.588371187616,0,non-stationkeeping
220,01,45.0,29281.740783673395,30362.612215614463,31.10526185231232,-2.8023440455334057,2.6937647722885516,0.31306321365075257,-2.80078889253886,2.695377331755413,0.3130648657747631,29327.337708207575,30283.987715437117,0,non-stationkeeping
230,01,45.0,29253.524198318977,30388.999128749343,36.070092565311526,-2.8232122530971426,2.637077286911447,0.4964811553960384,-2.8216585354415935,2.6386913134880023,0.49648307129992064,29305.240840261544,30305.370947973344,0,non-stationkeeping
240,01,45.0,29225.529546745256,30414.997307746675,39.678541352407564,-2.8010174615013046,2.598202416020493,0.3608427710392994,-2.79946515737202,2.5998178997333117,0.3608448787096039,29283.128381316004,30326.738057419974,0,non-stationkeeping
250,01,45.0,29197.551645507723,30441.15251759451,42.88570494841874,-2.799340997525651,2.6139040537917,0.32071408148883745,-2.7977901237534617,2.615520984783432,0.32071635960111755,29261.000343135245,30348.089032409258,0,non-stationkeeping
260,01,45.0,29169.685698887297,30468.302814324437,47.8167258973235,-2.7881440194872233,2.7134113376628233,0.49309955489896584,-2.786594662042475,2.7150296729929244,0.49310209489047596,29238.85673749183,30369.423861582036,0,non-stationkeeping
270,01,45.0,29141.935329184293,30494.086761497907,53.248072124637304,-2.7765849135054,2.576774949989902,0.5431317941213489,-2.7750369703003885,2.5783947173470567,0.5431346227313806,29216.69757616663,30390.742533587738,0,non-stationkeeping
280,01,45.0,29112.204716266224,30519.89603936978,59.21389869107668,-2.9746078599051597,2.579306434931802,0.59657951070588,-2.9730612918068093,2.580927787187647,0.5965826566439374,29194.52287094879,30412.045037084372,0,non-stationkeeping
290,01,45.0,29082.119475211763,30544.38461705649,65.250914242495,-3.0100694070934697,2.4472347669788492,0.6036980877223961,-3.008524105446024,2.448857768670735,0.6037015551418315,29172.332633635695,30433.33136073857,0,non-stationkeeping
300,01,45.0,29051.43465388796,30568.10739046995,71.48746229256226,-3.070026237436303,2.3706526226011,0.6236510051107078,-3.0684821323802067,2.37227734134612,0.6236548050067255,29150.126876033035,30454.601493225564,0,non-stationkeeping
310,01,45.0,29021.781112554458,30592.111060487216,78.13259085350778,-2.9668969915472556,2.398740660102606,0.6645087020920719,-2.9653541333503624,2.4003670017263077,0.6645128560945526,29127.90560995472,30475.855423229197,0,non-stationkeeping
320,01,45.0,28992.703616876177,30614.980889781276,86.66046537396251,-2.909291251777448,2.2853549796084502,0.8527828435386647,-2.907749567828168,2.2869829294060002,0.8527874520454726,29105.668847222933,30497.09313944194,0,non-stationkeeping
330,01,45.0,28964.374503103834,30638.793074876812,96.19199951867539,-2.8344517907298576,2.379589043959354,0.9531482983044532,-2.832911377234351,2.3812185095535066,0.9531534144712881,29083.4165996681,30518.314630564877,0,non-stationkeeping
340,01,45.0,28934.818337500637,30662.49705162835,107.71725318741507,-2.9571557342000685,2.3687665967961267,1.1525196364759884,-2.955616560319681,2.3703976751537374,1.1525253668739683,29061.14887912888,30539.51988530773,0,non-stationkeeping
350,01,45.0,28904.22924230224,30686.223415777156,117.55923429114084,-3.0604474707643434,2.3710036452706897,0.9841918547515734,-3.058909519839782,2.3726364148807138,0.9841981103725771,29038.86569745216,30560.708892388877,0,non-stationkeeping
